mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_n_estimators,params,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE
0.0006001949310302735,0.0004900572328027106,0.0,0.0,1,100,"{'min_samples_split': 1, 'n_estimators': 100}",,,,,,,,10,,,,,,,,10
0.0007997035980224609,0.00039985240674997655,0.0,0.0,1,1000,"{'min_samples_split': 1, 'n_estimators': 1000}",,,,,,,,10,,,,,,,,10
0.00039987564086914064,0.0004897457332026785,0.0,0.0,1,10000,"{'min_samples_split': 1, 'n_estimators': 10000}",,,,,,,,10,,,,,,,,10
5.774408149719238,0.13021381184259184,0.05899991989135742,0.0021907314805734795,2,100,"{'min_samples_split': 2, 'n_estimators': 100}",-9.231434391534393,-9.284411651234567,-9.470116820987654,-9.717457886904763,-9.8992019894572,-9.520524548023715,0.25457521567017244,3,-317.3459767266393,-332.1235579221322,-327.1021715000515,-339.18091859247744,-350.6660633049577,-333.2837376092516,11.229354287408214,5
57.368057775497434,0.6984398204166452,0.7040239334106445,0.15391082454375313,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000}",-9.226041650132276,-9.290467223324514,-9.377801338734567,-9.69201309799383,-9.811219488188975,-9.479508559674832,0.2304416536893647,2,-313.62527032603043,-327.7270813235167,-319.9009381707433,-334.237398700997,-352.2385330545023,-329.545844315158,13.317399102479927,1
694.3072284698486,2.2490294414246987,291.9218013763428,3.078886222870379,2,10000,"{'min_samples_split': 2, 'n_estimators': 10000}",-9.231510767802028,-9.289884722980467,-9.38294152448927,-9.66524138607804,-9.818613237940847,-9.477638327858129,0.22638748785716395,1,-315.28395436177226,-328.0064048166568,-321.8995892292846,-331.1189690699173,-351.92474409581655,-329.64673231468953,12.38931459601236,2
5.465207147598266,0.12707819535306322,0.051801013946533206,0.003123705567516633,3,100,"{'min_samples_split': 3, 'n_estimators': 100}",-9.345367918771041,-9.45104691725456,-9.574500107557053,-9.688453512806635,-9.827655032927037,-9.577404697863267,0.17016043119159943,6,-327.99287618586413,-332.75035874890654,-333.8292499823334,-330.6052761717748,-350.31618826538937,-335.0987898708537,7.866152157483643,6
56.57091307640076,1.2753031518095383,0.5564009189605713,0.0766726798823785,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000}",-9.27500085823513,-9.352542593561271,-9.457606835083643,-9.784188135293205,-9.856436842403376,-9.545155052915325,0.2331440352165069,5,-314.2007317025362,-330.49282504662483,-324.09712808374286,-337.3681972549871,-352.4723965819367,-331.72625573396556,12.877133196100434,3
687.6632001876831,7.8687126323316905,230.75202412605285,22.787861906202714,3,10000,"{'min_samples_split': 3, 'n_estimators': 10000}",-9.29271840099072,-9.33554421019272,-9.446027085320836,-9.743611435913772,-9.884198906264475,-9.540420007736504,0.23311408784697554,4,-318.5463837804796,-329.0294825956889,-324.45947771034025,-334.33202645731484,-354.84599482065533,-332.2426730728958,12.439988867147731,4
5.737408018112182,0.26787178241199355,0.04599895477294922,0.0014150552663350858,4,100,"{'min_samples_split': 4, 'n_estimators': 100}",-9.547897495598537,-9.62823647829794,-9.658090309381985,-10.018040889755818,-10.001423273319752,-9.770737689270806,0.1985086854012074,9,-339.61679395873267,-345.41216641068695,-337.25995076328354,-352.5043490381521,-360.5096675433067,-347.0605855428324,8.540399621953263,9
58.616498184204104,1.0278971001211408,0.4828005313873291,0.010776832161865564,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000}",-9.39637611861646,-9.43939530714784,-9.548581043645148,-9.83267142117527,-10.0058961493694,-9.644584007990824,0.2361565019094132,8,-322.77451196431963,-330.90000586285055,-328.92425613225487,-338.1518486971348,-359.4472121253699,-336.0395669563859,12.691603577248086,8
523.563161945343,161.93672483991827,10.80426607131958,10.404908369556987,4,10000,"{'min_samples_split': 4, 'n_estimators': 10000}",-9.383276443711067,-9.417774612122406,-9.51857095011887,-9.860687560740606,-9.970996771811494,-9.630261267700888,0.23992655934986395,7,-321.54821866797386,-331.41956312838073,-326.21765792624547,-339.73689015689894,-357.0293278707082,-335.1903315500414,12.477561987790065,7
